BPM,60,v,1,,,
오프셋,9197,,,,,
,,,,,,
,,,,,,
,,,,,,
타이밍,위치x,위치y,손 방향,방향,강도,
0,2,1,양손,상관없음,0,
0.8,0,1,양손,상관없음,0,0.8
2.19,1,2,양손,상관없음,0,2.19
6.75,2,1,오른손,오른쪽,0,6.75
7.61,0,1,왼손,왼쪽,0,7.61
8.54,2,1,오른손,오른쪽,0,8.54
9.35,0,1,왼손,왼쪽,0,9.35
9.83,2,2,오른손,상관없음,0,9.83
10.24,2,0,오른손,상관없음,0,10.24
10.7,0,2,왼손,상관없음,0,10.7
11.04,0,0,왼손,상관없음,0,11.04
11.52,0,2,오른손,상관없음,0,11.52
11.94,2,2,왼손,상관없음,0,11.94
12.43,1,2,오른손,상관없음,0,12.43
13.64,2,1,오른손,오른쪽,0,13.64
14.56,0,1,왼손,왼쪽,0,14.56
15.43,2,1,오른손,오른쪽,0,15.43
16.31,0,1,왼손,왼쪽,0,16.31
16.8,2,2,오른손,상관없음,0,16.8
17.2,2,0,오른손,상관없음,0,17.2
17.6,0,2,왼손,상관없음,0,17.6
18.02,0,0,왼손,상관없음,0,18.02
18.47,0,1,오른손,상관없음,0,18.47
18.95,2,1,왼손,상관없음,0,18.95
19.37,1,2,오른손,상관없음,0,19.37
20.72,0,1,오른손,상관없음,0,20.72
21.53,2,1,왼손,상관없음,0,21.53
22.39,0,1,오른손,상관없음,0,22.39
23.26,2,1,왼손,상관없음,0,23.26
24.13,0,1,양손,상관없음,0,24.13
24.99,2,1,양손,상관없음,0,24.99
25.93,0,1,양손,상관없음,0,25.93
26.79,2,1,양손,상관없음,0,26.79
27.61,2,0,오른손,왼쪽위,0,27.61
28.48,0,0,왼손,오른쪽위,0,28.48
29.34,2,1,오른손,상관없음,0,29.34
30.16,0,1,왼손,상관없음,0,30.16
31.09,1,2,오른손,상관없음,0,31.09
31.91,1,2,왼손,상관없음,0,31.91
32.55,2,0,오른손,상관없음,0,32.55
32.77,0,0,왼손,상관없음,0,32.77
32.97,2,1,오른손,상관없음,0,32.97
33.24,0,1,왼손,상관없음,0,33.24
33.44,2,2,오른손,상관없음,0,33.44
33.84,0,2,왼손,상관없음,0,33.84
34.63,0,2,오른손,상관없음,0,34.63
35.43,2,2,왼손,상관없음,0,35.43
36.31,0,1,오른손,상관없음,0,36.31
37.18,2,1,왼손,상관없음,0,37.18
38.06,0,1,양손,상관없음,0,38.06
38.94,2,1,양손,상관없음,0,38.94
39.81,0,1,양손,상관없음,0,39.81
40.68,2,1,양손,상관없음,0,40.68
41.5,2,0,오른손,왼쪽위,0,41.5
42.37,0,0,왼손,오른쪽위,0,42.37
43.24,2,1,오른손,오른쪽,0,43.24
44.08,0,1,왼손,왼쪽,0,44.08
44.83,2,2,오른손,왼쪽아래,0,44.83
45.9,0,2,왼손,오른쪽아래,0,45.9
46.58,2,0,오른손,상관없음,0,46.58
46.79,0,0,왼손,상관없음,0,46.79
46.92,2,1,오른손,상관없음,0,46.92
47.16,0,1,왼손,상관없음,0,47.16
47.44,2,2,오른손,상관없음,0,47.44
49.14,1,1,오른손,상관없음,0,47.82
